doe_input,duplicate,whole_plot,sorbent_wt_pct,hyd_P_bar,hyd_T_C,H2_conc_pct,CO2_uptake,CO_prod,MeOH_prod,CH4_prod,DME_prod,CO2_des,Total_prod,CO_sel,MeOH_sel,CH4_sel,DME_sel,CO2_conv,C_bal
1,-0.5,1,1,30,250,100,95.07429426,60.20033626,43.04318839,3.553337055,0.100055623,0,108.1122536,56.23556919,40.44930037,3.224621826,0.090508611,114.7921982,1.137134432
1,0,1,1,30,200,100,57.49310634,19.06692656,53.18855021,0.002524269,0,0,72.25800104,26.36163808,73.63478516,0.003576758,0,126.1176013,1.256811566
0,0,1,1,10,250,100,79.35173039,70.31629068,18.98638248,0.498662036,0.005776908,0,89.8071121,78.27700785,21.15604372,0.560570413,0.00637801,114.5080907,1.131759971
1,0,1,1,10,200,100,72.75200968,24.03705161,39.00025552,0,0.003545458,0,63.04085259,38.12466083,61.86968394,0,0.005655232,88.22528556,0.866516992
0,0.5,1,1,30,250,100,83.34903984,44.16545221,39.52774758,0.825740698,0,0,84.51894049,52.2581468,46.75912249,0.982730716,0,101.6540678,1.014036162
0,-1,2,5.05,30,250,100,123.3157461,48.47555861,55.80782685,0.139921806,0,0,104.4233073,46.39123731,53.4715606,0.13720209,0,84.79859502,0.846796217
1,0,2,5.05,10,200,100,87.88692261,28.03549837,31.44853944,0.054390724,0,0,59.53842854,46.95897517,52.94863209,0.092392737,0,67.81805533,0.677443546
0,0,2,5.05,30,250,100,110.5310677,38.65407964,44.71259615,1.337999589,0,0,84.70467538,45.62709614,52.78991531,1.582988546,0,76.79166419,0.766342687
1,1,2,5.05,30,250,100,102.7099637,37.42382074,43.74776014,0.691620745,0.003128656,0,81.86633028,45.71201422,53.43953364,0.844648916,0.003803229,79.80280872,0.79706318
1,0,2,5.05,30,200,100,85.33969492,6.75265119,43.87576262,0.065530217,0.028703398,0,50.72264743,13.26753186,86.53451084,0.137682384,0.060274909,59.47444967,0.594361715
0,-1,3,10,30,250,100,80.83377138,33.11751994,48.18284474,2.0022416,0.323676207,1.282630463,84.90891295,39.61048962,56.2632031,3.381227773,0.745079507,109.8124715,1.050413849
1,0,3,10,10,200,100,46.26468136,9.449989567,32.32373198,1.194047708,0,0.376434891,43.34420415,21.94622797,75.2710085,2.782763533,0,93.6694118,0.936874585
0,0,3,10,30,250,100,69.00833895,18.29228929,44.85095288,3.424863666,0,0,66.56810584,27.46104405,67.42601066,5.112945287,0,96.77084233,0.964638576
0,0,3,10,10,250,100,65.16011545,45.88077154,14.97579531,1.993806445,0,0,62.8503733,72.99812107,23.82763858,3.174240344,0,96.48249661,0.964552823
1,0,3,10,30,200,100,53.84370771,0.117481337,46.12740442,1.025146371,0,0,47.27003213,0.248648439,97.57936225,2.171989315,0,88.0388661,0.877911907
1,1,3,10,30,250,100,67.57728189,15.94699907,40.67898378,2.676806184,0,0,59.30278904,26.88555576,68.59490836,4.519535875,0,88.07573926,0.87755511
