PV Starts,PV Stops,Wind Starts,Wind Stops
6/4/2019 14:00,6/11/2019 13:00,6/14/2019 22:00,12/31/2019 23:00
7/10/2019 14:00,7/12/2019 13:00,1/1/2020 0:00,1/8/2020 18:00
7/19/2019 10:00,7/22/2019 7:00,1/8/2020 19:00,5/7/2020 16:00
7/22/2019 16:00,8/17/2019 12:00,5/7/2020 18:00,5/19/2020 21:00
8/17/2019 15:00,8/20/2019 12:00,5/19/2020 22:00,5/20/2020 17:00
8/20/2019 14:00,8/21/2019 7:00,5/20/2020 18:00,5/30/2020 1:00
8/22/2019 8:00,8/30/2019 5:00,5/30/2020 2:00,12/31/2020 23:00
8/30/2019 10:00,9/4/2019 8:00,1/1/2021 0:00,12/31/2021 23:00
9/4/2019 12:00,9/10/2019 14:00,1/1/2022 0:00, 9/8/2022 12:00
9/11/2019 11:00,9/15/2019 0:00,,
9/17/2019 0:00,9/23/2019 13:00,,
9/24/2019 11:00,9/25/2019 15:00,,
9/30/2019 14:00,10/7/2019 0:00,,
10/11/2019 0:00,10/21/2019 10:00,,
11/1/2019 0:00,11/5/2019 12:00,,
11/5/2019 16:00,11/11/2019 0:00,,
11/12/2019 0:00,11/16/2019 0:00,,
11/17/2019 12:00,11/20/2019 8:00,,
11/23/2019 0:00,11/26/2019 0:00,,
12/2/2019 10:00,12/6/2019 0:00,,
2/14/2020 7:00,2/20/2020 0:00,,
2/21/2020 0:00,2/26/2020 0:00,,
2/27/2020 0:00,3/2/2020 0:00,,
3/2/2020 12:00,3/9/2020 13:00,,
3/9/2020 17:00, 3/18/2020 19:00,,
3/21/2020 15:00,4/3/2020 0:00,,
4/3/2020 12:00, 4/11/2020 04:00,,
4/17/2020 14:00,5/16/2020 9:00,,
5/16/2020 10:00,5/29/2020 8:00,,
5/29/2020 15:00, 6/02/2020 16:00,,
6/3/2020 11:00, 6/7/2020 7:00,,
6/22/2020 9:00, 6/29/2020 9:00,,
6/29/2020 12:00,7/2/2020 11:00,,
7/2/2020 13:00, 7/17/2020 5:00,,
7/28/2020 0:00,8/3/2020 10:00,,
8/3/2020 14:00, 9/7/2020 4:00,,
10/29/2020 0:00,11/10/2020 7:00,,
11/10/2020 12:00, 11/24/2020 0:00,,
11/25/2020 13:00, 12/11/2020 0:00,,
12/16/2020 13:00, 12/28/2020 8:00,,
2/2/2021 15:00,2/5/2021 12:00,,
2/6/2021 0:00, 2/11/2021 10:00,,
3/1/2021 17:00, 3/2/2021 20:00,,
3/4/2021 0:00,3/10/2021 13:00,,
3/10/2021 15:00, 3/12/2021 20:00,,
3/16/2021 0:00, 3/21/2021 8:00,,
3/31/2021 0:00,4/5/2021 0:00,,
4/7/2021 0:00,4/10/2021 0:00,,
4/28/2021 0:00,5/1/2021 0:00,,
5/2/2021 0:00,5/2/2021 13:00,,
5/2/2021 15:00, 5/12/2021 22:00,,
6/2/2021 0:00, 6/5/2021 7:00,,
6/5/2021 15:00, 6/14/2021 0:00,,
6/14/2021 14:00, 6/22/2021 7:00,,
6/23/2021 9:00, 7/13/2021 6:00,,
7/14/2021 12:00, 7/23/2021 6:00,,
7/29/2021 0:00, 8/3/2021 9:00,,
10/28/2021 10:00, 11/2/2021 0:00,,
11/19/2021 10:00, 11/24/2021 9:00,,
12/15/2021 0:00, 12/17/21 0:00,,
3/10/2022 15:00, 3/17/2022 6:00,,
3/17/2022 13:00,4/6/2022 0:00,,
4/6/2022 9:00, 4/14/2022 0:00,,
4/14/2022 15:00, 4/18/2022 0:00,,
4/19/2022 0:00, 4/21/2022 0:00,,
5/16/2022 12:00, 5/17/2022 0:00,,
6/11/2022 0:00, 6/12/2022 0:00,,
6/23/2022 0:00, 6/24/2022 0:00,,
7/9/2022 0:00, 7/10/2022 0:00,,
7/12/2022 10:00, 7/13/2022 0:00,,
7/27/2022 10:00,8/27/2022 11:00,,
8/27/2022 13:00, 8/29/2022 16:00,,
8/30/2022 17:00, 9/10/2022 6:00,,
9/10/2022 11:00, 9/14/2022 9:00,,
9/21/2022 0:00, 9/22/2022 0:00,,
9/29/2022 14:00, 10/10/2022 4:00,,
10/10/2022 14:00,10/18/2022 15:00,,
10/18/2022 17:00, 10/27/2022 0:00,,
